nodo_id_1,nodo_name_1,nodo_type_1,nodo_id_2,nodo_name_2,nodo_type_2,distanza
*/1198  [215],Solbiate Arno - Albizzate,CASELLO,*/1197  [214],Cavaria,CASELLO,1.8
*/1197  [214],Cavaria,CASELLO,8/10  [1075],Gallarate nord,CASELLO,2.0
8/10  [1075],Gallarate nord,CASELLO,*/1210  [213],Bivio A8/Diramazione A26 Trafori,ALLACCIAMENTO,1.0
*/1210  [213],Bivio A8/Diramazione A26 Trafori,ALLACCIAMENTO,8/6  [212],Gallarate,CASELLO,1.0
8/6  [212],Gallarate,CASELLO,*/2929  [2929],BIVIO A8-A36 PEDEMONTANA,ALLACCIAMENTO,4.0
*/2929  [2929],BIVIO A8-A36 PEDEMONTANA,ALLACCIAMENTO,*/1196  [211],Busto Arsizio,CASELLO,1.4
*/1196  [211],Busto Arsizio,CASELLO,*/1195  [209],Castellanza,CASELLO,6.5
*/1195  [209],Castellanza,CASELLO,*/1194  [210],Legnano,CASELLO,1.7
*/1194  [210],Legnano,CASELLO,*/1393  [2104],Origgio ovest,CASELLO,4.3
*/1393  [2104],Origgio ovest,CASELLO,*/1209  [208],Bivio A8/A9 Lainate-Chiasso,ALLACCIAMENTO,1.3
*/1209  [208],Bivio A8/A9 Lainate-Chiasso,ALLACCIAMENTO,8/2  [4006],Lainate,CASELLO,2.5
8/2  [4006],Lainate,CASELLO,10018,VILLORESI OVEST,DISTRIBUTORE,0.6
10018,VILLORESI OVEST,DISTRIBUTORE,*/1412  [2943],Svincolo Lainate-Arese,CASELLO,0.5
*/1412  [2943],Svincolo Lainate-Arese,CASELLO,*/1208  [145],Bivio A8/Tangenziale ovest MI,ALLACCIAMENTO,1.1
*/1208  [145],Bivio A8/Tangenziale ovest MI,ALLACCIAMENTO,8/1  [204],Milano nord,CASELLO,0.4
8/1  [204],Milano nord,CASELLO,*/1679  [2422],Fiera Milano,ALLACCIAMENTO,3.4
*/1679  [2422],Fiera Milano,ALLACCIAMENTO,*/1490  [3021],Cascina Merlata,CASELLO,1.9
*/1490  [3021],Cascina Merlata,CASELLO,*/1146  [148],Nodo A8/A4 Torino-Trieste,ALLACCIAMENTO,0.3
