autostrade_dtx,autostrade_nome,idImpianto,nome_impianto
687,VIVERONE SUD,16443,VIVERONE SUD
40,RIO DEI COCCHI OVEST,58246,RIO DEI COCCHI OVEST
37,RIO COLORE EST,46784,RIO COLORE EST
10007,RIO GHIDONE OVEST,46826,RIO GHIDONE OVEST
35,RIO GHIDONE EST,46783,RIO GHIDONE EST
32,MONDOVI EST,58255,MONDOVI EST
10002,PRIERO OVEST,47693,PRIERO OVEST
22,CARCARE EST,49136,CARCARE EST
16267,VILLANOVA D'ASTI SUD,3843,VILLANOVA SUD
274,CROCETTA SUD,7194,CROCETTA SUD
10049,CROCETTA NORD,38874,CROCETTA NORD
10048,TORTONA SUD,60569,TORTONA SUD
268,TORTONA NORD,3798,TORTONA NORD
10051,STRADELLA SUD,3763,STRADELLA SUD
280,STRADELLA NORD,3935,STRADELLA NORD
276,NURE NORD,54709,NURE NORD
25967,NURE SUD,53842,NURE SUD
289,CREMONA SUD,60650,CREMONA SUD
288,CREMONA NORD,22118,CREMONA SUD
10052,GHEDI EST,59626,GHEDI EST
286,GHEDI OVEST,54711,GHEDI OVEST
10014,DORNO OVEST,29714,DORNO OVEST
64,DORNO EST,3558,DORNO EST
10508,CASTELNUOVO EST,50628,CASTELNUOVO SCRIVIA EST
10507,CASTELNUOVO  OVEST,3606,CASTELNUOVO SCRIVIA OVEST
10013,BETTOLE NOVI LIGURE OVEST,44860,BETTOLE DI NOVI LIGURE OVEST
59,BETTOLE NOVI LIGURE EST,44859,BETTOLE DI NOVI LIGURE EST
10010,VALLE SCRIVIA OVEST,50432,VALLE SCRIVIA OVEST
10016,GIOVI OVEST,40500,GIOVI OVEST
71,GIOVI EST,34680,GIOVI EST
47,CAMPORA EST,57882,CAMPORA EST
66,LA LANTERNA EST,37688,LA LANTERNA EST
10018,VILLORESI OVEST,3927,VILLORESI OVEST
85,VILLORESI EST,3555,VILLORESI EST
79,BRUGHIERA EST,4707,BRUGHIERA EST
10017,BRUGHIERA OVEST,60260,BRUGHIERA OVEST
10090,VERBANO OVEST,58183,VERBANO OVEST
560,VERBANO EST,57469,VERBANO EST
10019,LARIO OVEST,37861,LARIO OVEST
103,LARIO EST,48454,LARIO EST
10105,MUGGIANO OVEST,37664,MUGGIANO OVEST
1057,MUGGIANO EST,54710,MUGGIANO EST
1070,ASSAGO OVEST,3503,ASSAGO OVEST
1059,ROZZANO EST,47291,ROZZANO EST
1086,CASCINA GOBBA OVEST,33504,CASCINA GOBBA OVEST
10113,CASCINA GOBBA EST,55846,CASCINA GOBBA EST
1072,COLOGNO EST,48196,COLOGNO M. EST
10059,TRENS OVEST,51974,TRENS OVEST
302,TRENS EST,51973,TRENS EST
10066,PLOSE OVEST,46791,PLOSE OVEST
329,PLOSE EST,46748,PLOSE EST
10065,ISARCO EST,45903,ISARCO EST
326,SCILIAR OVEST,45898,SCILIAR OVEST
295,CASTEL VARCO LAIMBURG EST,41081,LAIMBURG EST
296,CASTEL VARCO LAIMBURG OVEST,56474,LAIMBURG OVEST
300,PAGANELLA OVEST,51566,PAGANELLA OVEST
10058,PAGANELLA EST,48237,PAGANELLA EST
10062,NOGAREDO OVEST,3568,NOGAREDO OVEST
315,NOGAREDO EST,40585,NOGAREDO EST
312,ADIGE OVEST,36401,ADIGE OVEST
10061,ADIGE EST,3581,ADIGE EST
10060,GARDA OVEST,32857,GARDA OVEST
310,GARDA EST,32856,GARDA EST
323,POVEGLIANO OVEST,41085,POVEGLIANO OVEST
10064,POVEGLIANO EST,41084,POVEGLIANO EST
320,PO EST,3464,PO EST
10063,PO OVEST,37117,PO OVEST
291,CAMPOGALLIANO OVEST,3887,CAMPOGALLIANO OVEST
10055,CAMPOGALLIANO EST,3894,CAMPOGALLIANO EST
25965,SILE EST,49281,SILE EST
